actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.31447396,0.00013026822,44.695724,-0.004582558,0.0023855234,0.0049401233,9.822284,17.752384,17.759003,1.1352082,31.754862,1.6168761,32.77844,1.0,-0.02722492,-0.99999845,5000,0.73519266,1000,1000.0,1000,5,0.0,472.14059847475437,387.3932299218315,299.22562768962234,5,69.10577110295979,4.483493,0.07159715,-3.9645336,20000,0.8308265,1000,633.4666666666667,32,30,360.89321904900834,497.17571372538805,301.21916300073207,14.332740873098373,30,162.05804333546396,30.0,115.5518913269043,20000.0,1.0,115.5518913269043,20000.0,173.08241146325003,20000.0
0.40183097,3.075674e-08,166.0575,-0.004933681,0.0032146173,0.006262141,12.531203,17.77475,17.768078,1.340033,55.249393,1.9200097,55.35214,1.0,0.12732324,-1.0,5000,0.6899504,1000,1000.0,1000,5,0.0,693.9752587340772,550.1036510050296,492.54495257046074,5,73.46618400209947,4.5787597,0.07527216,-4.9959702,20000,1.0686402,1000,985.952380952381,705,21,62.82286222499409,623.5309767337458,451.5695901881235,245.4865671149455,21,109.18801875380206,51.0,162.2511899471283,20000.0,2.0,277.94686484336853,40000.0,123.2656599099043,40000.0
0.62507254,1.0652689e-05,334.35568,-0.005515831,0.0049899276,0.008190677,12.745875,17.763294,17.752968,1.2262934,58.4179,1.7600094,58.61133,1.0,0.07437338,-1.0,5000,0.7018784,1000,1000.0,1000,5,0.0,672.4625279372558,573.4583221521534,411.78263359470293,5,93.58794793103228,4.7492666,0.044260144,-4.2862377,20000,1.0599661,1000,1000.0,1000,20,0.0,693.9384009353817,581.5118538202514,356.03482139948756,20,87.09707072475746,71.0,161.5781991481781,20000.0,3.0,439.6765093803406,60000.0,123.77907480983033,60000.0
0.72221375,6.3873904e-07,497.5692,-0.0061477097,0.005777071,0.010128263,12.773367,17.725842,17.714064,1.2245643,62.811832,2.0360098,63.031944,1.0,-0.01895542,-1.0,5000,0.8160058,1000,1000.0,1000,5,0.0,744.3679275375325,683.2149814304779,566.0902517849754,5,61.50769701698552,4.600332,0.07587633,-4.1826015,20000,1.0543789,1000,1000.0,1000,20,0.0,738.8909177118912,640.7336675439728,379.1792750302702,20,79.58665411168279,91.0,161.0783200263977,20000.0,4.0,600.9081320762634,80000.0,124.16320207910275,80000.0
0.8211793,-1.9447223e-06,650.441,-0.0066207238,0.00657138,0.011824251,12.736253,17.694096,17.68158,1.2800707,66.77752,2.5863168,66.96537,1.0,-0.003406633,-1.0,5000,0.7427839,1000,1000.0,1000,5,0.0,788.814730187878,759.1170904338593,739.782280064188,5,18.745551405086697,4.973726,0.04977229,-4.0742865,20000,1.0608797,1000,1000.0,1000,20,0.0,797.4565148714464,725.0939651287765,620.7119486406446,20,57.072285588342716,111.0,160.81562757492065,20000.0,5.0,761.8793444633484,100000.0,124.36602276530877,100000.0
0.88515556,3.494625e-05,798.6453,-0.0068503143,0.0070462995,0.013239476,12.731452,17.669117,17.656103,1.2848238,70.589355,2.7902718,70.75878,1.0,-0.069254585,-1.0,5000,0.7387331,1000,1000.0,1000,5,0.0,940.7161717098206,850.9489059462037,755.366304378811,5,66.73832697965261,3.8806727,-0.013125345,-4.059519,20000,1.079856,1000,1000.0,1000,20,0.0,891.3018306372687,773.794040878916,585.7909477391222,20,87.61388337727844,131.0,159.86190462112427,20000.0,6.0,921.8972425460815,120000.0,125.1079802120485,120000.0
1.008752,-0.000719989,945.5891,-0.0072716027,0.008790004,0.014836316,12.723362,17.652655,17.63924,1.2822744,74.6488,2.8588095,74.82219,1.0,-0.04017772,-1.0,5000,0.79955405,1000,1000.0,1000,5,0.0,1069.123215753585,982.2242722534108,886.6077184532769,5,66.89005296001135,4.2426047,-0.025967658,-4.8583813,20000,1.0865787,1000,1000.0,1000,20,0.0,937.8470693615673,850.4763632230272,721.661694675684,20,61.603760574566294,151.0,159.51505994796753,20000.0,7.0,1081.5715217590332,140000.0,125.38001118216569,140000.0
5.853413,-0.0129732955,1088.3424,-0.008336883,0.0598006,0.017043622,12.68637,17.63052,17.618618,1.3732167,78.47219,3.2480192,78.60041,1.0,0.041949525,-1.0,5000,0.7402092,1000,1000.0,1000,5,0.0,1286.590591058135,954.2392487586476,752.7325558108278,5,181.06716912134758,4.3699713,0.010425169,-4.1310015,20000,1.0940901,1000,1000.0,1000,20,0.0,1136.6061087530106,896.3874242070888,721.6753553918097,20,128.71326552613272,171.0,159.56261801719666,20000.0,8.0,1241.2947857379913,160000.0,125.34264133122036,160000.0
4.999057,0.0051005427,1216.0806,-0.007990227,0.034891915,0.017718874,12.66833,17.616703,17.604574,1.4290378,81.558365,3.7477446,81.67134,1.0,0.023220144,-1.0,5000,0.78475136,1000,1000.0,1000,5,0.0,1095.9510746323504,980.1538434650981,908.7799554374069,5,68.67294279966018,4.1706724,0.048848674,-4.304776,20000,1.1164159,1000,1000.0,1000,20,0.0,1100.0923575237393,911.2838900694047,725.4878920798765,20,101.7746205135308,191.0,160.27562952041626,20000.0,9.0,1401.7293395996094,180000.0,124.78503475447187,180000.0
7.648774,-0.030028433,1350.7924,-0.009966607,0.09121863,0.020772945,12.659125,17.60719,17.594715,1.4170716,84.42156,3.8836973,84.56477,1.0,0.06474539,-1.0,5000,0.8221911,1000,1000.0,1000,5,0.0,1252.3586829267442,1217.590601247549,1196.9304356351495,5,20.609487968781387,4.360291,0.05785652,-4.2086825,20000,1.1106045,1000,1000.0,1000,20,0.0,1190.816410820058,1029.9503693842241,683.7752235755324,20,140.88969857601506,211.0,159.76642727851868,20000.0,10.0,1561.693412065506,200000.0,125.18274546588106,200000.0
