actor/backtrack_steps,actor/kl,actor/loss,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
1.0,0.0062175314,-0.03584962,80.0,223692.83,6.6534243,3.0637033,0.07840094,-2.9314222,5000,0.7205982,1000,1000.0,1000,5,0.0,579.1462592080934,-11631.895825905562,-60091.29591331445,5,24229.751862917008,3.1241102,0.084536105,-2.794065,20000,0.7202256,1000,567.8823529411765,21,34,362.96983870044676,601.2171494737267,-1499.1173038462464,-60433.190883256495,34,10260.57899843987,34.0,71.35872077941895,20000.0,1.0,71.35872077941895,20000.0,280.2740825725163,20000.0
1.0,0.006021691,-0.039758995,80.0,35.10452,22.258556,3.0585482,0.08118998,-2.724217,3743,0.721366,1000,748.6,349,5,308.22952486742736,566.8355917516164,405.9198076858185,177.54664094559848,5,162.4172447892628,3.1348407,0.10394782,-3.3870387,20000,0.72409046,1000,761.2962962962963,175,27,298.0750358941849,591.4239688869566,399.31761080128865,98.24614512827247,27,151.61539722073786,61.0,67.11644721031189,20000.0,2.0,138.5285940170288,40000.0,297.9895514631347,40000.0
1.0,0.0066370144,-0.033585742,80.0,12.963152,35.755657,3.1218698,0.10572201,-2.5242124,4300,0.7260498,1000,860.0,300,5,280.0,588.0435213446617,464.7988969876431,167.41681454703212,5,151.964463800592,3.197331,0.10491498,-3.0274086,20000,0.7247429,1000,796.76,213,25,293.84326162088524,587.1425615549088,421.4050341877388,117.37161426013336,25,150.78400350432665,86.0,67.69847893714905,20000.0,3.0,206.30564498901367,60000.0,295.42761246626986,60000.0
1.0,0.0066088187,-0.03607916,80.0,6.3922257,45.698742,3.0647385,0.118827514,-2.7324371,5000,0.7206684,1000,1000.0,1000,5,0.0,589.1920652510598,544.6828216597438,476.3432083046064,5,43.43223303731969,3.147678,0.08224397,-3.245659,20000,0.72238123,1000,916.5909090909091,197,22,216.95363121914679,632.0901064127684,492.233419509848,108.33589322678745,22,125.38403876549363,108.0,68.28016185760498,20000.0,4.0,274.63264775276184,80000.0,292.91084637012204,80000.0
1.0,0.0066535696,-0.034622096,80.0,5.3163953,47.319214,2.9711661,0.13371381,-2.8945513,5000,0.7264739,1000,1000.0,1000,5,0.0,614.6925061680377,538.3696133523947,465.69837653427385,5,49.44265645422545,3.298835,0.101228476,-3.0522504,20000,0.72549576,1000,958.9,178,20,179.15074657952167,602.5893616173416,494.1657344885258,94.58913763519377,20,106.07556202693624,128.0,68.76720452308655,20000.0,5.0,343.44850873947144,100000.0,290.83630981808477,100000.0
1.0,0.0068061845,-0.037706796,80.0,3.309061,52.55037,3.5323238,0.12700021,-3.111116,5000,0.72807,1000,1000.0,1000,5,0.0,645.5272765308619,574.971559181856,503.89292988576926,5,57.018361601978505,3.71275,0.107434206,-3.160208,20000,0.7282808,1000,1000.0,1000,20,0.0,619.5255843624473,540.2839981757912,448.8289975175867,20,51.4732834860178,148.0,68.458256483078,20000.0,6.0,412.0061709880829,120000.0,292.1488367870389,120000.0
1.0,0.0064739487,-0.03969074,80.0,3.4849029,55.233555,3.1598458,0.14574173,-3.5988421,5000,0.7254142,1000,1000.0,1000,5,0.0,571.013427676633,535.5814668146893,485.5853980705142,5,36.25750442341832,3.185426,0.12952562,-3.039141,20000,0.72601575,1000,1000.0,1000,20,0.0,652.4192671297642,571.3334165991167,485.1495691612363,20,52.23005673853196,168.0,69.12111592292786,20000.0,7.0,481.1761198043823,140000.0,289.3471804231374,140000.0
1.0,0.0065678605,-0.04127247,80.0,3.7021532,55.197544,3.0586452,0.11202569,-2.8471854,5000,0.7348523,1000,1000.0,1000,5,0.0,594.98849001294,571.806974280905,551.1240238598548,5,16.440708941804786,3.3131523,0.104944065,-3.482147,20000,0.726628,1000,969.3809523809524,357,21,136.93254376498714,638.7983988933265,548.242256032946,208.5487767123268,21,90.55559666407814,189.0,67.99684572219849,20000.0,8.0,549.2209763526917,160000.0,294.13129076178205,160000.0
1.0,0.0065803956,-0.041678607,80.0,3.415545,58.106335,2.8859363,0.011860657,-2.8286846,5000,0.72815377,1000,1000.0,1000,5,0.0,620.1443579476327,603.1612741015851,581.299467981793,5,14.337846283104527,3.493712,0.1103738,-3.141419,20000,0.72748715,1000,1000.0,1000,20,0.0,672.2110302550718,605.7865596415825,558.4449811279774,20,34.275913706892005,209.0,67.28282165527344,20000.0,9.0,616.5527174472809,180000.0,297.25269404530775,180000.0
1.0,0.0065199523,-0.042307295,80.0,2.5053914,61.465874,2.9153624,-0.03109117,-3.0232759,5000,0.730365,1000,1000.0,1000,5,0.0,588.3494603969157,561.2821783237159,545.4716844428331,5,14.476003018986123,3.342593,0.0633617,-3.1232684,20000,0.7356729,1000,1000.0,1000,20,0.0,670.9044542461634,616.274272536306,527.1021090298891,20,38.60987687351624,229.0,68.23830270767212,20000.0,10.0,684.8402984142303,200000.0,293.0905255026423,200000.0
