actor/entropy,actor/kl,actor/loss,actor/std,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
8.419368,-6.420305e-08,-0.0039041955,0.69314396,223695.55,5.849538,3.0742977,0.069760725,-2.6922374,5000,0.7157912,1000,1000.0,1000,5,0.0,575.7357692774385,-11627.306196705264,-60093.741250008345,5,24233.262736827874,3.0770926,0.08011123,-2.8972437,20000,0.7182989,1000,523.3684210526316,124,38,343.60016704338744,543.8771609198302,-1336.7108695270995,-60433.194472156465,38,9716.74404265259,38.0,67.53686332702637,20000.0,1.0,67.53686332702637,20000.0,296.1345702887649,20000.0
8.419279,-3.2247044e-08,-0.009290113,0.6931365,31.343487,23.38624,2.7374527,0.0695306,-2.9145281,2569,0.71752787,1000,513.8,156,5,397.73579170097327,530.7481090625515,260.1245607973309,77.03653135895729,5,199.52825524970442,3.20139,0.076444864,-3.4647768,20000,0.71877295,1000,693.0714285714286,116,28,345.19600318115636,544.072362535604,338.29992547448427,57.75183383654803,28,163.33810263098408,66.0,58.654510498046875,20000.0,2.0,126.24622106552124,40000.0,340.97974444209154,40000.0
8.418556,5.3551047e-10,-0.011617081,0.6930737,12.025115,36.624767,2.78087,0.08838101,-2.641573,2473,0.7182327,1000,494.6,248,5,262.28808589030496,462.5078697325662,246.0431177514256,146.42228083871305,5,112.94354967924308,3.1605017,0.07115124,-2.8584695,20000,0.7182316,1000,846.25,256,24,273.8815513441288,611.4726696610451,428.5618398219497,122.45301115885377,24,144.3479217148612,90.0,57.80745053291321,20000.0,3.0,184.100195646286,60000.0,345.97616424223406,60000.0
8.417716,-2.3911706e-08,0.0035365657,0.69300103,6.277329,44.10304,2.9480636,0.07762625,-2.6785865,4146,0.71637434,1000,829.2,146,5,341.6,570.5619685053825,395.31651232492294,80.46841321140528,5,165.4577162364747,3.359693,0.082854696,-2.8754387,20000,0.71750015,1000,783.4230769230769,117,26,333.4273272309555,621.6173252558801,403.0234108855321,87.00677268207073,26,167.63007542894414,116.0,61.036691188812256,20000.0,4.0,245.18255996704102,80000.0,327.671759567234,80000.0
8.41697,-4.391186e-08,-0.022362579,0.6929365,6.0125318,46.812016,3.0782142,0.07916808,-2.7791815,5000,0.7151981,1000,1000.0,1000,5,0.0,590.3257405089098,524.9682325546048,443.0432515256107,5,48.207775845151716,3.1365056,0.08463651,-3.0876265,20000,0.7166865,1000,749.6923076923077,210,26,289.0895215660539,621.6473617406155,391.14036395548186,90.16735541261733,26,149.3668743386875,142.0,63.42218804359436,20000.0,5.0,308.65175914764404,100000.0,315.3470515122034,100000.0
8.415701,-1.5180557e-08,-0.02575634,0.6928268,3.8992803,47.92198,2.9587328,0.0723276,-2.6920455,4348,0.7193073,1000,869.6,348,5,260.79999999999995,663.5762013634667,476.7871235763654,224.10230287909508,5,147.57627168192653,3.588625,0.081360824,-3.068688,20000,0.71980333,1000,838.2083333333334,101,24,266.0736081060193,612.5464324320201,438.1382482949792,54.32355649396777,24,138.19879787094752,166.0,61.74992775917053,20000.0,6.0,370.44946813583374,120000.0,323.8870185889373,120000.0
8.414003,2.3376197e-08,-0.014066954,0.69268,3.1191196,51.19067,3.16258,0.0893542,-2.8400338,4430,0.71748585,1000,886.0,430,5,228.0,569.3229890521616,456.0058561539743,230.3009195663035,5,128.85716894413068,3.2126987,0.08691435,-3.151572,20000,0.7187292,1000,814.4,221,25,289.08531612657185,596.9994389687199,438.8181296410598,117.08896295912564,25,159.86128125729255,191.0,62.233779430389404,20000.0,7.0,432.7303719520569,140000.0,321.3688801010499,140000.0
8.412402,-3.3085236e-08,0.0098161455,0.6925417,2.585661,50.17758,3.0085716,0.08668692,-3.3016973,4589,0.72157633,1000,917.8,589,5,164.39999999999998,590.6219207039103,480.769731956115,319.83000356703997,5,91.3011101976066,3.4740026,0.08651075,-3.0175157,20000,0.7158899,1000,860.4782608695652,150,23,254.34431807316994,629.2041450887918,451.0026628147082,62.63403759337962,23,144.52729518912415,214.0,62.52042269706726,20000.0,8.0,495.29909110069275,160000.0,319.8954699475851,160000.0
8.411878,-1.4610123e-08,0.0017587934,0.6924961,2.4912581,51.56191,2.9794824,0.09292612,-2.6831262,5000,0.71477014,1000,1000.0,1000,5,0.0,576.9993430823088,526.1917499393224,465.5668511688709,5,35.9363197694193,3.3690107,0.0945276,-3.1152825,20000,0.71653366,1000,754.7692307692307,152,26,322.3322828878857,642.4505591130583,400.3368115464087,70.78283609461505,26,175.279256649793,240.0,62.859763622283936,20000.0,9.0,558.2071158885956,180000.0,318.16855246509317,180000.0
8.411443,-2.188608e-08,-0.034709536,0.69245857,2.552766,51.16958,3.2145607,0.0791872,-3.0609953,4322,0.72520566,1000,864.4,322,5,271.2,597.8324436098337,488.6696346888319,184.50572952628136,5,157.60964011519846,3.2827718,0.09203448,-3.0953038,20000,0.7242721,1000,819.04,68,25,290.39249026102584,637.1672261022031,453.16402520107573,46.30728330463171,25,163.499017624861,265.0,62.21457886695862,20000.0,10.0,620.4704551696777,200000.0,321.4680604487986,200000.0
